validation-1	256	208	241	0.3333333333333333	0.33333333333333337	0.3333333333333333	
validation-2	185	110	150	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-3	435	383	406	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-4	333	300	325	0.33333333333333337	0.3333333333333333	0.33333333333333337	
validation-5	427	290	328	0.3333333333333334	0.3333333333333333	0.33333333333333337	
validation-6	296	189	272	nan	nan	nan	
validation-7	294	231	253	0.3333333333333333	0.33333333333333337	0.33333333333333337	
validation-8	378	267	340	nan	nan	nan	
validation-9	399	370	388	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-10	298	325	370	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-11	418	273	435	0.3333333333333333	0.33333333333333337	0.33333333333333337	
validation-12	266	208	231	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-13	345	312	330	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-14	264	183	248	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-15	251	196	207	0.3333333333333333	0.33333333333333337	0.33333333333333337	
validation-16	319	265	291	0.3333333333333333	0.33333333333333337	0.3333333333333333	
validation-17	319	195	214	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-18	382	321	368	nan	nan	nan	
validation-19	255	164	200	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-20	337	275	317	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-21	346	216	236	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-22	306	210	278	0.33333333333333337	0.3333333333333333	0.3333333333333334	
validation-23	387	310	409	0.33333333333333337	0.33333333333333337	0.33333333333333337	
validation-24	379	320	339	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-25	309	265	299	0.3333333333333333	0.33333333333333337	0.33333333333333337	
validation-26	316	274	287	0.33333333333333337	0.33333333333333337	0.3333333333333333	
validation-27	330	226	374	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-28	304	79	316	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-29	342	285	325	0.3333333333333333	0.33333333333333337	0.33333333333333337	
validation-30	309	123	142	nan	nan	nan	
validation-31	140	4	38	0.3333333333333333	0.33333333333333337	0.33333333333333337	
validation-32	268	175	209	0.33333333333333337	0.3333333333333333	0.33333333333333337	
validation-33	379	333	351	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-34	477	303	431	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-35	316	257	295	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-36	329	193	284	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-37	295	218	252	0.33333333333333337	0.3333333333333333	0.33333333333333337	
validation-38	368	178	296	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-39	326	249	385	0.33333333333333337	0.3333333333333333	0.3333333333333333	
validation-40	460	433	446	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-41	400	419	442	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-42	490	312	450	nan	nan	nan	
validation-43	322	275	315	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-44	322	214	269	nan	nan	nan	
validation-45	251	184	208	0.33333333333333337	0.3333333333333333	0.33333333333333337	
validation-46	423	330	388	0.3333333333333333	0.33333333333333337	0.33333333333333337	
validation-47	330	189	240	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-48	241	169	224	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-49	414	431	443	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-50	329	212	307	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-51	497	294	332	0.33333333333333337	0.3333333333333333	0.33333333333333337	
validation-52	258	182	246	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-53	337	272	324	0.3333333333333333	0.33333333333333337	0.33333333333333337	
validation-54	294	195	244	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-55	365	273	397	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-56	323	223	268	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-57	387	317	374	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-58	255	217	240	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-59	287	323	411	0.3333333333333333	0.33333333333333337	0.33333333333333337	
validation-60	301	133	333	nan	nan	nan	
validation-61	286	218	297	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-62	409	317	377	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-63	449	313	381	0.3333333333333333	0.33333333333333337	0.33333333333333337	
validation-64	381	393	552	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-65	309	24	233	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-66	211	192	198	0.3333333333333333	0.33333333333333337	0.3333333333333333	
validation-67	398	212	337	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-68	210	240	262	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-69	368	228	632	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-70	263	283	321	0.33333333333333337	0.3333333333333333	0.3333333333333333	
validation-71	273	145	248	0.3333333333333333	0.3333333333333333	0.3333333333333333	
validation-72	182	95	208	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-73	338	280	322	0.3333333333333333	0.3333333333333333	0.33333333333333337	
validation-74	330	198	229	0.3333333333333333	0.33333333333333326	0.33333333333333326	
validation-75	414	430	458	0.33333333333333337	0.3333333333333333	0.33333333333333337	
