name,gender,boy,girl
Aashvith,M,1,0
Aasia,F,0,1
Aasim,M,8,0
Aasiya,F,0,1
Aasteek,M,1,0
Aathavan,M,1,0
Aathi,M,1,0
Aathmaj,M,1,0
Aatif,M,3,0
Aatish,M,1,0
Aatman,M,1,0
Aatmik,M,1,0
Aavai,M,1,0
Aavan,M,2,0
Aavas,M,2,0
Aavash,M,1,0
Aave,M,1,0
Aaven,M,3,0
Aavesh,M,1,0
Aavi,M,1,0
Aavian,M,1,0
Aavin,M,1,0
Aavir,M,1,0
Aavish,M,2,0
Aavy,M,1,0
Aavyan,M,1,0
Aavyn,M,1,0
Aawa'Kaapikssi,M,1,0
Aaxel,M,1,0
Aayaan,M,6,0
Aayaansh,M,1,0
Aayad,M,1,0
Aayam,M,3,0
Aayan,M,62,0
Aayanan,M,1,0
Aayandeep,M,1,0
Aayansh,M,11,0
Aayat,M,1,0
Aaydan,M,1,0
Aayden,M,6,0
Aayed,M,1,0
Aayme,F,0,1
Aayob,M,1,0
Aayudh,M,1,0
Aayur,M,1,0
Aayush,M,17,0
Aayushman,M,2,0
Aazab,M,1,0
Aazam,M,3,0
Aazan,M,6,0
Aazib,M,1,0
Aazil,M,1,0
Aazim,M,1,0
Aazmir,M,2,0
Aba,F,0,1
Abaan,M,5,0
Abaas,M,1,0
Abad,M,1,0
Abadat,M,1,0
Abakar,M,1,0
Aban,M,4,0
Abanob,M,1,0
Abanoub,M,5,0
Abantsia,M,1,0
Abas,M,7,0
Abas ,M,1,0
Abasiama,M,1,0
Abass,M,3,0
Abawn,M,1,0
Abayomi,M,3,0
Abba,F,0,1
Abbas,M,53,0
Abbãs,M,1,0
Abbas ,M,2,0
Abbason,M,1,0
Abbass,M,1,0
Abbaz,M,1,0
Abbegail,F,0,1
Abbey,F,1,6
Abbie,F,0,11
Abbot,M,2,0
Abbott,M,8,0
Abbott ,M,1,0
Abbra,F,0,1
Abby,F,0,47
Abby-Dawn,F,0,1
Abbygail,F,0,2
Abbygail-Rose-Casandra,F,0,1
Abd,M,11,0
Abdal,M,2,0
Abdala,M,2,0
Abdale,M,1,0
Abdaleh,M,1,0
Abdalkareem,M,1,0
Abdal-Kareem,M,1,0
Abdalla,M,11,0
Abdallah,M,51,0
Abdallah ,M,2,0
Abdal-Majid,M,1,0
Abd-AlMoez,M,1,0
Abdalmotalib,M,1,0
Abdalrahman,M,4,0
Abdal-Rahman,M,2,0
Abd-Alrahman,M,1,0
Abdalrahman ,M,1,0
Abdalrhman,M,2,0
AbdAlstar,M,1,0
Abdar,M,1,0
Abd-Arhman,M,1,0
Abdarrahman,M,2,0
Abdassamad,M,1,0
Abdeen,M,1,0
Abdel,M,12,0
Abdel ,M,1,0
Abdel-All,M,1,0
Abdelallah,M,1,0
Abdelatif,M,1,0
Abdelaziz,M,4,0
Abdel-Aziz,M,1,0
Abdelhadi,M,1,0
Abdelhakim,M,1,0
Abdel-Halim,M,1,0
Abdelhamid,M,1,0
Abdelkader,M,3,0
Abdelkareem,M,1,0
Abdelkarim,M,2,0
Abdelkrim-Khaled-Said-Etunsi,M,1,0
Abdell,M,1,0
Abdelmajeed,M,1,0
Abdelmajid,M,2,0
Abdelmalek,M,1,0
Abdel-Malek,M,1,0
Abdel-Malik,M,1,0
Abdelmateen ,M,1,0
Abdelmoez,M,1,0
Abdelmohy,M,1,0
Abdelmonem,M,1,0
Abdelmouiz,M,1,0
Abdelmoumen,M,1,0
Abdelmuïzz,M,1,0
Abdelnasir,M,1,0
Abdelqader,M,1,0
Abdelrahim,M,1,0
Abdelrahman,M,15,0
Abdel-Rahman,M,3,0
Abd-ElRahman,M,1,0
Abdelrahmane,M,1,0
Abdelrhman,M,6,0
Abdelsalam,M,1,0
Abdel-Salam,M,1,0
Abdel-Tawab,M,1,0
Abdel-Wadood,M,1,0
Abdelwahab ,M,1,0
Abdelwahed,M,1,0
Abdel-Wahid,M,1,0
Abderahmane,M,1,0
Abderrahim,M,1,0
Abderrahman,M,3,0
Abdessamed,M,1,0
Abdessatar,M,1,0
Abdi,M,20,0
Abdi ,M,1,0
Abdias,M,1,0
Abdiaziz,M,1,0
Abdibasid,M,1,0
Abdiel,M,2,0
Abdifatah,M,6,0
Abdigani,M,1,0
Abdihafid,M,1,0
Abdihakim,M,3,0
Abdihamid,M,2,0
